tensor(-2000.3843, device='cuda:0')
tensor(-2083.2612, device='cuda:0')
tensor(-2128.3511, device='cuda:0')
tensor(-2070.3770, device='cuda:0')
tensor(-1979.0425, device='cuda:0')
tensor(-1977.6393, device='cuda:0')
tensor(-2088.6377, device='cuda:0')
tensor(-1959.2700, device='cuda:0')
tensor(-2018.7786, device='cuda:0')
tensor(-1944.0120, device='cuda:0')
tensor(-2076.1775, device='cuda:0')
tensor(-2001.5569, device='cuda:0')
tensor(-2093.2954, device='cuda:0')
tensor(-2068.1138, device='cuda:0')
tensor(-2032.3357, device='cuda:0')
tensor(-1984.5972, device='cuda:0')
tensor(-2084.4761, device='cuda:0')
tensor(-1925.7271, device='cuda:0')
tensor(-2015.2469, device='cuda:0')
tensor(-2028.8948, device='cuda:0')
tensor(-1919.7604, device='cuda:0')
tensor(-2096.8372, device='cuda:0')
tensor(-2054.7246, device='cuda:0')
tensor(-1992.2820, device='cuda:0')
tensor(-1936.9910, device='cuda:0')
tensor(-2080.9121, device='cuda:0')
tensor(-2009.8008, device='cuda:0')
tensor(-1924.0500, device='cuda:0')
tensor(-1993.2137, device='cuda:0')
tensor(-1883.1327, device='cuda:0')
tensor(-1893.2192, device='cuda:0')
tensor(-1981.6213, device='cuda:0')
tensor(-2196.3208, device='cuda:0')
tensor(-2010.9501, device='cuda:0')
tensor(-1961.4663, device='cuda:0')
tensor(-1942.9158, device='cuda:0')
tensor(-1986.7756, device='cuda:0')
tensor(-1984.2554, device='cuda:0')
tensor(-1967.9496, device='cuda:0')
tensor(-2006.3273, device='cuda:0')
tensor(-2041.7760, device='cuda:0')
tensor(-1994.5808, device='cuda:0')
tensor(-2000.2161, device='cuda:0')
tensor(-1970.7075, device='cuda:0')
tensor(-2026.2820, device='cuda:0')
tensor(-1999.7900, device='cuda:0')
tensor(-2142.3184, device='cuda:0')
tensor(-1950.8945, device='cuda:0')
tensor(-2061.6055, device='cuda:0')
tensor(-2082.7393, device='cuda:0')
tensor(-1966.8167, device='cuda:0')
tensor(-2082.2974, device='cuda:0')
tensor(-2024.4711, device='cuda:0')
tensor(-1989.8835, device='cuda:0')
tensor(-2043.0299, device='cuda:0')
tensor(-2111.7520, device='cuda:0')
tensor(-1992.9824, device='cuda:0')
tensor(-2123.1211, device='cuda:0')
tensor(-2070.9978, device='cuda:0')
tensor(-2001.2991, device='cuda:0')
tensor(-2037.9446, device='cuda:0')
tensor(-2064.1025, device='cuda:0')
tensor(-1911.5869, device='cuda:0')
tensor(-1900.4250, device='cuda:0')
tensor(-2036.5796, device='cuda:0')
tensor(-2065.9517, device='cuda:0')
tensor(-1958.2861, device='cuda:0')
tensor(-1910.7827, device='cuda:0')
tensor(-2038.3188, device='cuda:0')
tensor(-2005.3094, device='cuda:0')
tensor(-1957.3208, device='cuda:0')
tensor(-1953.9277, device='cuda:0')
tensor(-2166.6621, device='cuda:0')
tensor(-1996.2697, device='cuda:0')
tensor(-2062.6943, device='cuda:0')
tensor(-2030.4178, device='cuda:0')
tensor(-1927.8534, device='cuda:0')
tensor(-1917.3850, device='cuda:0')
tensor(-1986.0662, device='cuda:0')
tensor(-1962.0417, device='cuda:0')
tensor(-1992.1056, device='cuda:0')
tensor(-1996.4285, device='cuda:0')
tensor(-2043.1884, device='cuda:0')
tensor(-1932.6617, device='cuda:0')
tensor(-2058.8469, device='cuda:0')
tensor(-1968.4109, device='cuda:0')
tensor(-1911.7074, device='cuda:0')
tensor(-1996.0245, device='cuda:0')
tensor(-2069.4011, device='cuda:0')
tensor(-1971.4900, device='cuda:0')
tensor(-2045.8119, device='cuda:0')
tensor(-1886.7129, device='cuda:0')
tensor(-1917.3837, device='cuda:0')
tensor(-2016.4961, device='cuda:0')
tensor(-2039.9396, device='cuda:0')
tensor(-1980.5420, device='cuda:0')
tensor(-1930.5212, device='cuda:0')
tensor(-2004.9204, device='cuda:0')
tensor(-1947.4492, device='cuda:0')
tensor(-1947.7300, device='cuda:0')
tensor(-1970.1914, device='cuda:0')
tensor(-2110.4421, device='cuda:0')
tensor(-2040.6868, device='cuda:0')
tensor(-2066.7021, device='cuda:0')
tensor(-2122.2571, device='cuda:0')
tensor(-1961.3864, device='cuda:0')
tensor(-2070.1050, device='cuda:0')
tensor(-1989.9399, device='cuda:0')
tensor(-2053.1616, device='cuda:0')
tensor(-1989.9288, device='cuda:0')
tensor(-1967.6182, device='cuda:0')
tensor(-1949.3862, device='cuda:0')
tensor(-2040.9856, device='cuda:0')
tensor(-1994.0940, device='cuda:0')
tensor(-1958.0205, device='cuda:0')
tensor(-2125.8403, device='cuda:0')
tensor(-2054.2925, device='cuda:0')
tensor(-1891.5916, device='cuda:0')
tensor(-2096.1274, device='cuda:0')
tensor(-1989.4617, device='cuda:0')
tensor(-2038.5547, device='cuda:0')
tensor(-1999.5868, device='cuda:0')
tensor(-1956.0505, device='cuda:0')
tensor(-1975.6561, device='cuda:0')
tensor(-1991.9139, device='cuda:0')
tensor(-2057.8245, device='cuda:0')
tensor(-2057.8882, device='cuda:0')
tensor(-2065.6458, device='cuda:0')
tensor(-2015.7476, device='cuda:0')
tensor(-2026.1019, device='cuda:0')
tensor(-1999.1116, device='cuda:0')
tensor(-1895.4751, device='cuda:0')
tensor(-2029.7885, device='cuda:0')
tensor(-1978.1954, device='cuda:0')
tensor(-1933.8899, device='cuda:0')
tensor(-1995.3948, device='cuda:0')
tensor(-1971.8389, device='cuda:0')
tensor(-2046.3475, device='cuda:0')
tensor(-2008.8440, device='cuda:0')
tensor(-2009.7358, device='cuda:0')
tensor(-2025.9404, device='cuda:0')
